source,layer name, rgb, transparency, min scale, max scale,query,line width
osm_landmarkv10.gdb\osm_hedge,hedge,144,194,144,,12500,None,1.3
osm_landmarkv10.gdb\osm_barrier,barrier,180 180 180,,12500,None,0.5
osm_landmarkv10.gdb\osm_attraction,attraction,232 209 186,20%,750000,None,, 
osm_landmarkv10.gdb\osm_cemetery,cemetery,97 158 58,85%,200000,None,,
osm_landmarkv10.gdb\osm_military,military,122 148 30,75%,750000,None,,
osm_landmarkv10.gdb\osm_park,park,0 166 53,80%,750000,None,,
osm_landmarkv10.gdb\osm_golf_course,golf course,136 204 0,75%,25000,None,,
osm_landmarkv10.gdb\osm_forest,forest,0 166 53,75%,750000,None,,
osm_landmarkv10.gdb\osm_beach,beach,245 239 215,,200000,None,,
osm_landmarkv10.gdb\osm_parking_lot,parking lot,255 254 242,,750000,None,,
osm_landmarkv10.gdb\osm_stadium,stadium,232 209 186,,100000,None,,
osm_landmarkv10.gdb\osm_school,school,224 219 198,,100000,None,,
osm_landmarkv10.gdb\osm_hospital,hospital,198 224 224,,100000,None,,
osm_landmarkv10.gdb\osm_shopping_center,shopping center,230 227 195,,100000,None,,
osm_landmarkv10.gdb\osm_airport,airport,221 222 237,,750000,None,,
osm_landmarkv10.gdb\osm_runway,runway,180 180 180,,750000,None,,
osm_landmarkv10.gdb\osm_residential,residential,240 238 228,,750000,None,,
osm_landmarkv10.gdb\osm_barracks,barracks,255 143 143,,750000,None,,
osm_landmarkv10.gdb\osm_park,park 200km area,40 184 68,90%,1500000,750000,geo_area > 200000,
osm_landmarkv10.gdb\osm_forest,forest 200km area,0 184 68,75%,1500000,750000,geo_area > 200000,
osm_landmarkv10.gdb\osm_military,military 200km area,122 148 30,90%,6500000,750000,geo_area > 200000,
